SUBSIDIARIA;CENTRO DE COSTO;CATEGORIA;CUENTA;ANIO;ESTADO;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Presupuestado;.00;.00;.00;.00;.00;.00;.00;74021.95;74021.95;74021.95;74021.95;74021.95;370109.75;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Reservado;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Comprometido;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Ejecutado;.00;.00;.00;.00;.00;.00;.00;1252.51;.00;.00;.00;.00;1252.51;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Pagado;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Transferido;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Adición;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;01-GROWTH,0101-GENERAL,0102-EXPANSION,0103-FINTECH,0104-GENERAL PROJECTS;;;2022;Disponible;.00;.00;.00;.00;.00;.00;.00;72769.44;74021.95;74021.95;74021.95;74021.95;368857.24;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;02-LEGAL,0201-GENERAL,0202-FINTECH,0203-INTELLECTUAL PROPERTY,0204-LABOR,0205-GENERAL PROJECTS;;;2022;Presupuestado;.00;.00;.00;.00;.00;.00;.00;52849.05;52849.05;52849.05;52849.05;52849.05;264245.25;
HADES CAPITAL SAPI DE C.V.,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;02-LEGAL,0201-GENERAL,0202-FINTECH,0203-INTELLECTUAL PROPERTY,0204-LABOR,0205-GENERAL PROJECTS;;;2022;Reservado;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
